label,axis-0,axis-1
0,81.0,369.5
1,87.0,377.0
2,89.0,1282.5
3,92.0,1273.0
4,166.5,53.0
5,172.5,313.0
6,172.5,858.0
7,176.0,55.0
8,178.0,851.0
9,180.0,313.5
10,205.5,183.0
11,208.0,180.5
12,252.0,1190.5
13,253.0,1194.5
14,271.0,1378.0
15,276.0,1383.0
16,313.5,1316.0
17,320.5,1314.0
18,344.5,968.0
19,351.0,974.0
20,459.0,624.0
21,459.0,628.0
22,566.0,53.0
23,570.0,46.5
24,570.5,1002.0
25,577.0,1005.5
26,601.0,520.5
27,603.0,526.5
28,638.0,237.0
29,641.0,231.0
30,659.0,73.5
31,659.0,698.0
32,661.0,73.0
33,664.0,701.0
34,773.0,1537.5
35,782.0,1537.0
36,908.0,854.0
37,916.5,855.0
38,949.5,232.0
39,957.5,227.0
40,957.0,570.0
41,966.0,567.0
42,1010.0,387.5
43,1012.0,385.0
44,1065.5,79.0
45,1072.5,83.0
46,1119.5,269.0
47,1128.5,267.0
