,image name,number non-triangular junctions,total nb of junctions,non-triangular centroids,species code
0,3-15-700x-2-02.tif,70,765,non_triangular_junctions-3-15-700x-2-02.csv,3-15
1,5-20-700x-2-03.tif,34,671,non_triangular_junctions-5-20-700x-2-03.csv,5-20
2,6-19-400x-1-03.tif,280,1231,non_triangular_junctions-6-19-400x-1-03.csv,6-19
3,7-01-700x-2-03.tif,28,415,non_triangular_junctions-7-01-700x-2-03.csv,7-01
4,7-01-700x-2-02.tif,26,337,non_triangular_junctions-7-01-700x-2-02.csv,7-01
5,6-19-400x-1-02.tif,249,1103,non_triangular_junctions-6-19-400x-1-02.csv,6-19
6,5-20-700x-2-02.tif,79,702,non_triangular_junctions-5-20-700x-2-02.csv,5-20
7,3-15-700x-2-03.tif,114,860,non_triangular_junctions-3-15-700x-2-03.csv,3-15
8,8-06-700x-2-01.tif,4,328,non_triangular_junctions-8-06-700x-2-01.csv,8-06
9,5-22-400x-1-03.tif,28,655,non_triangular_junctions-5-22-400x-1-03.csv,5-22
10,5-22-400x-1-01.tif,10,592,non_triangular_junctions-5-22-400x-1-01.csv,5-22
11,8-06-700x-2-03.tif,4,311,non_triangular_junctions-8-06-700x-2-03.csv,8-06
12,3-15-700x-2-01.tif,107,900,non_triangular_junctions-3-15-700x-2-01.csv,3-15
13,7-01-700x-2-01.tif,19,345,non_triangular_junctions-7-01-700x-2-01.csv,7-01
14,6-19-400x-1-01.tif,206,1168,non_triangular_junctions-6-19-400x-1-01.csv,6-19
15,5-20-700x-2-01.tif,48,649,non_triangular_junctions-5-20-700x-2-01.csv,5-20
16,8-06-700x-2-02.tif,2,319,non_triangular_junctions-8-06-700x-2-02.csv,8-06
17,3-15-700x-2-04.tif,133,887,non_triangular_junctions-3-15-700x-2-04.csv,3-15
18,7-01-700x-2-05.tif,18,403,non_triangular_junctions-7-01-700x-2-05.csv,7-01
19,7-01-700x-2-04.tif,20,365,non_triangular_junctions-7-01-700x-2-04.csv,7-01
20,6-19-400x-1-04.tif,213,1007,non_triangular_junctions-6-19-400x-1-04.csv,6-19
21,3-15-700x-2-05.tif,151,1001,non_triangular_junctions-3-15-700x-2-05.csv,3-15
22,5-20-700x-2-04.tif,63,620,non_triangular_junctions-5-20-700x-2-04.csv,5-20
23,5-22-400x-1-05.tif,10,550,non_triangular_junctions-5-22-400x-1-05.csv,5-22
24,5-20-700x-2-06.tif,32,530,non_triangular_junctions-5-20-700x-2-06.csv,5-20
25,8-06-700x-2-04.tif,"Empty DataFrame
Columns: [axis-0, axis-1]
Index: []",330,non_triangular_junctions-8-06-700x-2-04.csv,8-06
26,6-21-400x-2-03.tif,135,664,non_triangular_junctions-6-21-400x-2-03.csv,6-21
27,4-02-700x-1-02.tif,46,400,non_triangular_junctions-4-02-700x-1-02.csv,4-02
28,7-24-400x-1-03.tif,4,187,non_triangular_junctions-7-24-400x-1-03.csv,7-24
29,7-15-400x-2-02.tif,4,257,non_triangular_junctions-7-15-400x-2-02.csv,7-15
30,4-17-400x-2-03.tif,4,192,non_triangular_junctions-4-17-400x-2-03.csv,4-17
31,4-17-400x-2-02.tif,10,205,non_triangular_junctions-4-17-400x-2-02.csv,4-17
32,7-15-400x-2-03.tif,6,249,non_triangular_junctions-7-15-400x-2-03.csv,7-15
33,7-24-400x-1-02.tif,2,163,non_triangular_junctions-7-24-400x-1-02.csv,7-24
